region,id,type,name,species,elevation,lat,lon,start,end,contributor
asia,bt013,Ring Width,Pembu,PIWA,,2715,8923,1741,2005,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt014,Ring Width,Kalipang,PIRO,,2711,9112,1650,2003,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt015,Ring Width,Autosho,PIRO,,2729,9111,1777,2003,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt016,Ring Width,Laya-1,LAGR,,2759,8945,1644,2006,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt017,Ring Width,Chele La,LAGR,,2723,8919,1620,2005,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt018,Ring Width,Laya Chamsa,JURE,,2757,8945,1453,2006,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt019,Ring Width,Gasa-1,JURE,,2755,8945,1660,2006,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt020,Ring Width,Tshele Pang,ABDE,,2727,9009,1720,2006,Edward R. Cook Paul J. Krusic Dorji Dukpa
asia,bt021,Ring Width,Ura-Dhur Composite,PCSP,3268,2725,9058,1280,2013,Paul J. Krusic Edward R. Cook Dorji Dukpa
asia,chin004,Ring Width,HUASHAN,PIAM,2060,3429,11005,1540,1989,"X. D. Wu, X. M. Shao, M. K. Hughes, J. M. Burns, G. M. Garfin"
asia,chin004e,Earlywood Width,HUASHAN    Earlywood Width,PIAM,2060,3429,11005,1560,1988,"X. D. Wu, X. M. Shao, M. K. Hughes, J. M. Burns, G. M. Garfin"
asia,chin004l,Latewood Width,HUASHAN    Latewood Width,PIAM,2060,3429,11005,1560,1988,"X. D. Wu, X. M. Shao, M. K. Hughes, J. M. Burns, G. M. Garfin"
asia,chin004n,Minimum Density,HUASHAN    Minimum Earlywood Density,PIAM,2060,3429,11005,1526,1988,"X. D. Wu, X. M. Shao, M. K. Hughes, J. M. Burns, G. M. Garfin"
asia,chin004x,Maximum Density,HUASHAN    Maximum Latewood Density,PIAM,2060,3429,11005,1560,1988,"X. D. Wu, X. M. Shao, M. K. Hughes, J. M. Burns, G. M. Garfin"
asia,chin005,Ring Width,Shenge,JUPR,3800,3700,9830,840,1993,Paul Sheppard Lisa Graumlich
asia,chin006,Ring Width,Dulan,JUPR,3800,3600,9800,159,1993,Paul Sheppard Lisa Graumlich
asia,chin007,Ring Width,,,,,,,,
asia,chin008,Ring Width,Big Kushitai,PCSH,2763,4253,8208,1690,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin009,Ring Width,Jialepake,PCSH,2308,4304,8209,1605,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin010,Ring Width,Kengbulake,PCSH,2593,4248,8143,1686,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin011,Ring Width,Kuerdening,PCSH,1499,4309,8252,1634,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin012,Ring Width,Qiaxi,PCSH,1710,4305,8241,1721,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin013,Ring Width,Shitizi East Valley,PCSH,1865,4343,8643,1785,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin014,Ring Width,Tian Chi,PCSH,1913,4353,8807,1694,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin015,Ring Width,Xiaoxi Valley,PCSH,1878,4347,8618,1706,2004,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin016,Ring Width,Ma'Erkang,CUCH,2500,3147,10155,1575,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin017,Ring Width,Xiangchen,JUTI,3980,2854,9945,1452,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin018,Ring Width,Daocheng,ABFO,4150,2917,10005,1540,2006,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin019,Ring Width,Xiangcheng Maxiong Valley,ABFO,3530,2909,9956,1509,2006,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin020,Ring Width,Litang,JUTI,4050,3014,10016,1306,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin021,Ring Width,Xiangcheng,ABFO,3750,2859,9956,1380,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin022,Ring Width,Xinlong County,PCLI,3300,3052,10017,1663,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin023,Ring Width,Yajiang,PCLI,4020,3000,10052,1715,2007,Jinbao Li Keyan Fang Yang Tao Edward Cook
asia,chin024,Ring Width,Baimang Snow Mountain,JUTI,4260,2822,9902,1628,2007,William Wright Jinbao Li Keyan Fang Yang Tao Edward Coo
asia,chin025,Ring Width,"Pantiange, Weixi County",ABFO,3050,2722,9916,1483,2007,William Wright Jinbao Li Keyan Fang Yang Tao Edward Coo
asia,chin026,Ring Width,Shangri La,ABFO,3500,2737,9948,1516,2007,William Wright Jinbao Li Keyan Fang Yang Tao Edward Coo
asia,chin027,Ring Width,"Pantiange 2, Weixi County",ABFO,3040,2720,9918,1348,2007,William Wright Jinbao Li Keyan Fang Yang Tao Edward Coo
asia,chin028,Ring Width,Weixi County,ABFO,3060,2720,9918,1348,2007,William Wright Jinbao Li Keyan Fang Yang Tao Edward Coo
asia,chin029,Ring Width,Xinjiaing BLKA,LASI,2810,4351,9318,1571,2002,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
asia,chin030,Ring Width,Xinjiaing BLKB,LASI,2840,4350,9323,1608,2002,Paul Krusic Jinbao Li Jianfeng Peng Keyan Fang Edward C
