species,bark with formula (cm),cite,continent,Latitude,Longitude
Betula pendula,BT = (dbh * (1 - math.sqrt(1 - 25.502 * dbh**(-0.289) / 100)))/2,"Liepiņš, J., & Liepiņš, K. (2015).Evaluation of bark volume of four tree species in Latvia.",Europe,56.94965,24.10519
Fagus sylvatica (European beech),BT = (0.01149*DBH^0.8516)/100,"Bauer, R., Billard, A., Mothe, F. et al. Modelling bark volume for six commercially important tree species in France: assessment of models and application at regional scale. Annals of Forest Science 78, 104 (2021). https://doi.org/10.1007/s13595-021-01096-7",Europe,48.8566,2.3522
Picea abies (Norway spruce),BT = (0.02408*DBH^0.8723)/100,"Bauer, R., Billard, A., Mothe, F. et al. Modelling bark volume for six commercially important tree species in France: assessment of models and application at regional scale. Annals of Forest Science 78, 104 (2021). https://doi.org/10.1007/s13595-021-01096-7",Europe,48.8566,2.3522
Pinus pinaster,BT = 0.103*DBH^1.023,"Catry, Filipe Xavier et al. “Post-fire tree mortality in mixed forests of central Portugal.” Forest Ecology and Management 260 (2010): 1184-1192.",Europe,40.2,8.42
Pinus sylvestris,BT = (dbh * (1 - math.sqrt(1 - 75.492 * dbh**(-0.654) / 100)))/2,"Liepiņš, J., & Liepiņš, K. (2015).Evaluation of bark volume of four tree species in Latvia.",Europe,48.8566,2.3522
Populus nigra,BT = 0.081*DBH,"Miles, Patrick D.. “Specific Gravity and Other Properties of Wood and Bark for 156 Tree Species Found in North America.” (2015).",North America,  37.0902 ~ 56.1304, -95.7129~ -106.3468
Quercus petraea (Sessile Oak),BT = (0.02748*DBH^0.6759)/100,"Bauer, R., Billard, A., Mothe, F. et al. Modelling bark volume for six commercially important tree species in France: assessment of models and application at regional scale. Annals of Forest Science 78, 104 (2021). https://doi.org/10.1007/s13595-021-01096-7",Europe,48.8566,2.3522
