lat,lon,region,species,elevation,start,end,source,name
31.07,97.02,asia,JUTI,,449,2004,ITRDB,chin046
31.07,97.02,asia,PCLI,,1406,1994,ITRDB,chin047
30.18,91.31,asia,JUTI,,1080,1998,ITRDB,chin048
31.14,96.29,asia,PCLI,,1547,1994,ITRDB,chin049
37.28,97.14,asia,JUPR,,843,2001,ITRDB,chin050
37.28,97.13,asia,JUPR,,828,2001,ITRDB,chin051
37.27,97.32,asia,JUPR,,404,2002,ITRDB,chin052
37.26,98.03,asia,JUPR,,451,2002,ITRDB,chin053
37.27,97.47,asia,JUPR,,711,2003,ITRDB,chin054
37.31,97.03,asia,JUPR,,1237,2002,ITRDB,chin055
34.28,110.05,asia,PIAM,,1458,2005,ITRDB,chin056
34.28,110.05,asia,PIAM,,1512,2005,ITRDB,chin057
34.28,110.05,asia,PIAM,,1359,2005,ITRDB,chin058
33.48,96.08,asia,JUTI,,1480,2002,ITRDB,chin059
37.19,98.24,asia,JUPR,,943,2003,ITRDB,chin060
37.02,98.38,asia,JUPR,,857,2003,ITRDB,chin061
37.02,98.4,asia,JUPR,,845,2001,ITRDB,chin062
36.45,98.13,asia,JUPR,,681,2001,ITRDB,chin063
36.41,98.25,asia,JUPR,,900,2001,ITRDB,chin064
32.4,95.43,asia,JUTI,,1290,2006,ITRDB,chin065
33.43,96.17,asia,JUTI,,1374,2002,ITRDB,chin066
37.15,97.45,asia,JUPR,,-2637,2011,ITRDB,chin067
36.14,98.21,asia,JUPR,,933,2011,ITRDB,chin068
38.34,99.2,asia,JUPR,,56,2011,ITRDB,chin070
38.12,99.52,asia,JUPR,,432,2008,ITRDB,chin071
33.44,112.14,asia,PITB,1675,1774,2007,ITRDB,chin072
28.36,119.27,asia,PIMA,435,1846,2013,ITRDB,chin073
31,97,asia,JUTI,4450,128,2010,ITRDB,chin074
29.09,99.57,asia,ABFO,3600,1498,2013,ITRDB,chin075
41.43,43.29,asia,PISY,1850,1754,2006,ITRDB,geor002
41.43,43.3,asia,PISY,1950,1781,2006,ITRDB,geor003
41.47,43.29,asia,PISY,1450,1776,2006,ITRDB,geor004
41.48,43.27,asia,PISY,1100,1773,2006,ITRDB,geor005
41.37,42.43,asia,PISY,2000,1833,2006,ITRDB,geor006
41.37,42.31,asia,ABAL,1930,1676,2006,ITRDB,geor007
41.46,43.31,asia,PISY,1850,1767,2006,ITRDB,geor008
41.35,42.45,asia,PISY,1900,1882,2006,ITRDB,geor009
41.49,42.51,asia,PISY,2010,1813,2006,ITRDB,geor010
34.02,75.42,asia,ABPI,2900,1609,1982,ITRDB,indi008
34.02,75.42,asia,PCSM,2900,1775,1982,ITRDB,indi009
30.45,77.48,asia,CDDE,2200,1711,1988,ITRDB,indi010
30.5,77.26,asia,PIRO,1800,1801,1988,ITRDB,indi011
31.07,77.1,asia,CDDE,2700,1775,1988,ITRDB,indi012
32.16,77.1,asia,CDDE,2000,1676,1988,ITRDB,indi013
31.12,77.14,asia,CDDE,3000,1685,1989,ITRDB,indi014
31.12,77.14,asia,ABPI,3000,1590,1989,ITRDB,indi015
31.12,77.14,asia,PCSM,3000,1724,1989,ITRDB,indi016
31.11,77.16,asia,PCSM,2500,1673,1989,ITRDB,indi017
31.11,77.16,asia,ABPI,2500,1745,1989,ITRDB,indi018
30.45,78.25,asia,PCSM,2400,1720,1990,ITRDB,indi019
30.37,78.45,asia,PIRO,2100,1796,1989,ITRDB,indi020
29.46,79.1,asia,CDDE,2000,1657,1990,ITRDB,indi021
31.22,78.1,asia,CDDE,2500,1538,2004,ITRDB,indi024
10.11,76.52,asia,TEGR,,1481,2003,ITRDB,indi025
-7.15,111.5,asia,TEGR,75,1839,1995,ITRDB,indo001
-7.07,111.22,asia,TEGR,,1668,2004,ITRDB,indo002
-7.52,111.12,asia,TEGR,,1714,2004,ITRDB,indo003
-7.3,111.47,asia,TEGR,,1644,2005,ITRDB,indo004
-5.3,123,asia,TEGR,,1565,2005,ITRDB,indo005
-7.02,110.16,asia,TEGR,,1776,2004,ITRDB,indo006
-7.3,111.43,asia,TEGR,,1689,2000,ITRDB,indo007
-6.52,115.23,asia,TEGR,,1760,2000,ITRDB,indo008
43.46,142.33,asia,PCGN,1350,1532,1997,ITRDB,japa008
44,145,asia,PCGN,,1693,2003,ITRDB,japa010
44.01,143.5,asia,PCGN,200,1693,2003,ITRDB,japa011
44.57,142.07,asia,PCGN,300,1500,1991,ITRDB,japa012
44.21,142.11,asia,PCGN,320,1575,1999,ITRDB,japa013
43.3,143.12,asia,PCGN,880,1487,1997,ITRDB,japa014
43.13,145.28,asia,PCGN,69,1418,1998,ITRDB,japa015
35.44,138.13,asia,TSDI,2200,1540,2001,ITRDB,japa016
30.22,130.32,asia,CMJA,1300,982,2002,ITRDB,japa017
30.2,130.27,asia,CMJA,1100,969,2005,ITRDB,japa018
33.44,133.07,asia,CHOB,,1600,2001,ITRDB,japa019
30.2,130.3,asia,CMJA,,1,1999,ITRDB,japa020
34.18,132.18,asia,PIDE,50,1881,1987,ITRDB,japa1
30.38,35.3,asia,JUPH,1250,1460,1995,ITRDB,jord001
32.14,35.49,asia,PIHA,800,1920,1994,ITRDB,jord002
32.39,35.42,asia,QUMC,350,1906,1995,ITRDB,jord003
43.21,77.21,asia,PCSH,,1570,2001,ITRDB,kaz001
38.08,128.28,asia,PIKO,1500,1657,1998,ITRDB,kore001
40.1,72.35,asia,JUSP,2600,1839,1995,ITRDB,kyrg001
40.1,72.35,asia,JUSP,2900,1346,1995,ITRDB,kyrg002
