sample,initbias mm
AGU01A,1
AGU01B,1
AGU02A,1
AGU02B,1
AGU03A,1
AGU03B,1
AGU04A,1
AGU04B,1
AGU13A,1
AGU14A,1
AGU14B,1
TRJ01C,1
TRJ01D,1
TRJ02C,1
TRJ10A,1
TRJ12A,1
TRJ12B,1
TRJ12C,1
TRJ14B,1
TRJ16A,1
TRJ16C,1
TRJ16B,1
TRJ19A,1
TRJ20A,1
TRJ20B,1
TRJ21A,1
TRJ21B,1
TRJ22A,1
TRJ23A,1
TRJ24A,1
TRJ25A,1
TRJ27A,1
TRJ28A,1
TRJ28B,1
TRJ29A,1
TRJ30A,1
TRJ33A,1
TRJ34B,1
TRJ35C,1
TRJ38A,1
TRJ38B,1
TRJ01B,1
