sample,initbias mm
ATFS1304,1
ATFS1305,1
ATFS1307,2
ATFS1310,1
ATFS1311,1
ATFS1312,4
ATFS1313,5
ATFS1314,1
ATFS1315,4
ATFS1316,3
ATFS1317,2
ATFS1318,1
ATFS1319,4
ATFS1320,1
ATFS1321,8
ATFS1322,9
ATFS1323,1
ATFS1325,12
ATFS1327,6
ATFS1328,8
ATFS1329,1
ATFS1330,4
